,2,4,7,10,16,21,23,25,26,32,42,44
1,1,3,7,7,4,4,3,1,2,2,7,9
3,1,1,4,7,2,3,1,3,3,4,9,9
5,3,1,2,5,2,4,3,5,4,6,10,10
6,4,2,1,4,3,4,4,6,5,7,11,11
8,6,4,1,2,4,4,5,6,5,7,9,9
9,8,5,2,1,5,5,6,7,6,8,10,10
11,6,5,5,1,5,3,6,5,4,6,8,7
12,6,4,2,3,3,3,4,5,4,6,8,8
13,5,3,2,3,3,3,4,6,5,7,9,9
14,5,2,2,5,2,2,3,5,4,6,9,9
15,3,1,2,5,2,3,3,5,4,6,10,10
17,4,2,3,5,1,1,2,4,3,5,8,8
18,5,3,3,4,2,2,3,4,4,5,7,7
19,5,5,3,2,4,2,5,4,3,5,7,7
20,4,4,4,3,2,1,2,4,2,4,6,6
22,2,2,5,6,1,1,1,2,1,3,6,7
24,1,3,6,7,2,2,1,1,1,2,7,7
27,3,4,5,4,3,2,3,2,1,3,5,5
28,4,5,6,5,4,3,4,3,2,2,4,4
29,5,6,7,6,5,4,5,4,3,3,3,3
30,4,5,8,7,4,4,4,3,2,2,3,4
31,3,4,7,6,3,3,3,2,1,1,4,6
33,2,4,7,8,5,5,4,2,3,3,6,8
34,3,5,8,10,6,6,5,3,4,2,5,7
35,4,6,9,8,5,5,4,2,3,1,4,6
36,5,6,9,8,5,5,5,3,3,2,4,5
37,5,7,10,9,6,6,5,3,4,2,3,5
38,6,6,9,8,5,5,5,4,5,3,2,4
39,7,7,9,8,6,6,6,5,4,4,1,3
40,6,7,8,7,6,5,6,5,4,4,2,2
41,7,8,9,8,7,5,7,6,5,5,1,1
43,8,9,9,9,8,7,8,7,6,6,1,1
